CMDLINE /home/niccolum/projects/github/intrst_algrms/knapsack_problem/env/bin/python3 funcs.py
MEM 3.867188 1566196803.4693
MEM 20.929688 1566196803.5696
MEM 33.007812 1566196803.6699
MEM 37.894531 1566196803.7703
MEM 37.894531 1566196803.8710
MEM 37.894531 1566196803.9720
MEM 37.894531 1566196804.0731
MEM 37.894531 1566196804.1743
MEM 37.894531 1566196804.2752
MEM 37.894531 1566196804.3761
MEM 37.894531 1566196804.4771
MEM 37.894531 1566196804.5781
MEM 37.894531 1566196804.6790
MEM 37.894531 1566196804.7794
MEM 37.894531 1566196804.8797
MEM 37.894531 1566196804.9800
MEM 37.894531 1566196805.0803
MEM 37.894531 1566196805.1806
MEM 37.894531 1566196805.2809
MEM 37.894531 1566196805.3812
MEM 37.894531 1566196805.4815
MEM 37.894531 1566196805.5818
MEM 37.894531 1566196805.6821
MEM 37.894531 1566196805.7824
MEM 37.894531 1566196805.8827
MEM 37.894531 1566196805.9830
MEM 37.894531 1566196806.0833
MEM 37.894531 1566196806.1836
MEM 37.894531 1566196806.2839
MEM 37.894531 1566196806.3842
MEM 37.894531 1566196806.4845
MEM 37.894531 1566196806.5848
MEM 37.894531 1566196806.6851
MEM 37.894531 1566196806.7853
MEM 37.894531 1566196806.8857
MEM 37.894531 1566196806.9860
MEM 37.894531 1566196807.0863
MEM 37.894531 1566196807.1866
MEM 37.894531 1566196807.2869
MEM 37.894531 1566196807.3872
MEM 37.894531 1566196807.4875
MEM 37.894531 1566196807.5878
MEM 37.894531 1566196807.6881
MEM 37.894531 1566196807.7884
MEM 37.894531 1566196807.8887
MEM 37.894531 1566196807.9890
MEM 37.894531 1566196808.0893
MEM 37.894531 1566196808.1896
MEM 37.894531 1566196808.2899
MEM 37.894531 1566196808.3902
MEM 37.894531 1566196808.4905
FUNC __main__.knapsack_1_standard_solution 37.8945 1566196803.7382 37.8945 1566196803.7382
FUNC __main__.knapsack_2_solution 37.8945 1566196804.0411 37.8945 1566196804.0415
FUNC __main__.knapsack_3_solution 37.8945 1566196804.3536 37.8945 1566196804.3715
FUNC __main__.knapsack_4_bruteforce_solution 37.8945 1566196804.6729 37.8945 1566196809.3389
FUNC __main__.knapsack_5_dynamic_solution 37.8945 1566196809.6396 37.8945 1566196809.6398
FUNC __main__.knapsack_6_recursive_dynamic_solution 37.8945 1566196809.9464 38.4375 1566196809.9772
FUNC __main__.knapsack_greedy_solution 38.4375 1566196810.2781 38.4375 1566196810.2784
MEM 37.894531 1566196808.5908
MEM 37.894531 1566196808.6911
MEM 37.894531 1566196808.7914
MEM 37.894531 1566196808.8917
MEM 37.894531 1566196808.9921
MEM 37.894531 1566196809.0924
MEM 37.894531 1566196809.1927
MEM 37.894531 1566196809.2930
MEM 37.894531 1566196809.3933
MEM 37.894531 1566196809.4941
MEM 37.894531 1566196809.5947
MEM 37.894531 1566196809.6952
MEM 37.894531 1566196809.7959
MEM 37.894531 1566196809.8965
MEM 38.437500 1566196809.9968
MEM 38.437500 1566196810.0973
MEM 38.437500 1566196810.1979
MEM 38.437500 1566196810.2986
MEM 38.437500 1566196810.3992
MEM 38.437500 1566196810.4997
MEM 38.437500 1566196810.6002
