CMDLINE /home/niccolum/projects/github/intrst_algrms/env/bin/python3 funcs.py
MEM 1.539062 1566913514.6037
MEM 19.878906 1566913514.7040
MEM 32.996094 1566913514.8043
MEM 39.261719 1566913514.9046
MEM 39.261719 1566913515.0054
MEM 39.261719 1566913515.1063
MEM 39.261719 1566913515.2072
MEM 39.261719 1566913515.3081
MEM 39.261719 1566913515.4089
MEM 39.261719 1566913515.5098
MEM 39.441406 1566913515.6107
MEM 39.441406 1566913515.7114
MEM 39.441406 1566913515.8122
MEM 39.441406 1566913515.9130
MEM 39.441406 1566913516.0138
MEM 39.441406 1566913516.1147
MEM 39.441406 1566913516.2155
MEM 39.441406 1566913516.3163
MEM 39.441406 1566913516.4171
MEM 39.441406 1566913516.5179
MEM 39.441406 1566913516.6188
MEM 39.441406 1566913516.7195
MEM 39.441406 1566913516.8204
MEM 39.441406 1566913516.9212
MEM 39.441406 1566913517.0219
MEM 39.441406 1566913517.1227
MEM 39.441406 1566913517.2237
MEM 39.441406 1566913517.3245
MEM 39.441406 1566913517.4254
MEM 40.988281 1566913517.5262
MEM 40.988281 1566913517.6269
MEM 40.988281 1566913517.7277
MEM 40.988281 1566913517.8281
MEM 40.988281 1566913517.9284
MEM 40.988281 1566913518.0287
MEM 40.988281 1566913518.1290
MEM 40.988281 1566913518.2293
MEM 40.988281 1566913518.3299
MEM 40.988281 1566913518.4309
MEM 40.988281 1566913518.5316
MEM 40.988281 1566913518.6320
MEM 40.988281 1566913518.7330
MEM 40.988281 1566913518.8338
MEM 40.988281 1566913518.9346
MEM 40.988281 1566913519.0353
MEM 40.988281 1566913519.1361
MEM 40.988281 1566913519.2369
MEM 40.988281 1566913519.3373
MEM 40.988281 1566913519.4382
MEM 40.988281 1566913519.5390
MEM 42.019531 1566913519.6393
FUNC __main__.outer_flatten_1 39.2617 1566913514.8912 39.2617 1566913514.8913
FUNC __main__.outer_flatten_1 40.9883 1566913517.4679 40.9883 1566913517.4683
FUNC __main__.outer_flatten_2 39.2617 1566913515.1952 39.2617 1566913515.1958
FUNC __main__.outer_flatten_2 40.9883 1566913517.7788 40.9883 1566913517.7791
FUNC __main__.niccolum_flatten 39.2617 1566913515.5336 39.2617 1566913515.5619
FUNC __main__.niccolum_flatten 40.9883 1566913518.5497 40.9883 1566913518.6136
FUNC __main__.tishka_flatten 39.4414 1566913515.8633 39.4414 1566913515.8957
FUNC __main__.tishka_flatten 40.9883 1566913518.9149 40.9883 1566913518.9472
FUNC __main__.zart_flatten 39.4414 1566913516.1967 39.4414 1566913516.2076
FUNC __main__.zart_flatten 40.9883 1566913519.2483 40.9883 1566913519.2616
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5088 39.4414 1566913516.5231
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5100 39.4414 1566913516.5225
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5111 39.4414 1566913516.5222
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5120 39.4414 1566913516.5218
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5131 39.4414 1566913516.5215
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5140 39.4414 1566913516.5210
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5149 39.4414 1566913516.5206
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5161 39.4414 1566913516.5203
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5177 39.4414 1566913516.5201
FUNC __main__.recursive_flatten_generator 39.4414 1566913516.5190 39.4414 1566913516.5198
